student_id,technical_skills,soft_skills,project_titles
25,"C++, JavaScript, DSA","Problem Solving, Teamwork, Adaptability","Inventory System, Attendance Tracker, Placement Portal"
26,"AWS, SQL, Node.js","Teamwork, Leadership, Problem Solving","Automation Bot, Data Pipeline, Recommendation Engine"
27,"Java, DSA, SQL","Teamwork, Problem Solving, Time Management","Placement Portal, Data Pipeline, Automation Bot"
28,"C++, SQL, Docker","Problem Solving, Time Management, Communication","Recommendation Engine, Attendance Tracker, Analytics Dashboard"
29,"Node.js, Excel, SQL","Communication, Time Management, Problem Solving","Recommendation Engine, Inventory System, Placement Portal"
30,"Docker, Python, SQL","Leadership, Communication, Problem Solving","ETL Tool, Inventory System, Placement Portal"
31,"Excel, Java, Pandas","Communication, Time Management, Teamwork","Placement Portal, Attendance Tracker, Recommendation Engine"
32,"SQL, AWS, Java","Leadership, Communication, Adaptability","Recommendation Engine, ETL Tool, Automation Bot"
33,"Pandas, SQL, Python","Time Management, Communication, Problem Solving","Analytics Dashboard, Inventory System, Data Pipeline"
34,"Excel, SQL, Node.js","Problem Solving, Leadership, Communication","Placement Portal, Attendance Tracker, Analytics Dashboard"
35,"Python, React, Java","Time Management, Communication, Leadership","ETL Tool, Attendance Tracker, Student CRM"
36,"Java, Pandas, Python","Problem Solving, Leadership, Time Management","Recommendation Engine, Data Pipeline, Analytics Dashboard"
37,"Pandas, Excel, Python","Time Management, Adaptability, Leadership","ETL Tool, Placement Portal, Chatbot"
38,"C++, DSA, Excel","Problem Solving, Adaptability, Communication","Automation Bot, ETL Tool, Attendance Tracker"
39,"Java, C++, Node.js","Time Management, Teamwork, Adaptability","Chatbot, Attendance Tracker, Recommendation Engine"
40,"Pandas, Java, C++","Problem Solving, Leadership, Time Management","ETL Tool, Recommendation Engine, Placement Portal"
41,"Java, Pandas, DSA","Teamwork, Adaptability, Communication","Chatbot, Attendance Tracker, Data Pipeline"
42,"Excel, Pandas, React","Time Management, Communication, Problem Solving","Automation Bot, Data Pipeline, Student CRM"
43,"Docker, JavaScript, Pandas","Leadership, Communication, Time Management","Analytics Dashboard, Placement Portal, Automation Bot"
44,"React, C++, Pandas","Communication, Adaptability, Problem Solving","Placement Portal, Attendance Tracker, ETL Tool"
45,"AWS, React, Python","Adaptability, Time Management, Communication","Student CRM, Placement Portal, Recommendation Engine"
46,"React, JavaScript, Pandas","Adaptability, Communication, Time Management","Student CRM, Chatbot, Recommendation Engine"
47,"AWS, SQL, Excel","Communication, Leadership, Problem Solving","Analytics Dashboard, Placement Portal, Automation Bot"
48,"Java, Node.js, Docker","Teamwork, Communication, Time Management","ETL Tool, Data Pipeline, Attendance Tracker"
49,"React, Node.js, Python","Adaptability, Communication, Time Management","Analytics Dashboard, Inventory System, Attendance Tracker"
50,"AWS, Pandas, Java","Time Management, Communication, Adaptability","Recommendation Engine, Data Pipeline, Attendance Tracker"
51,"C++, AWS, Docker","Communication, Leadership, Adaptability","ETL Tool, Data Pipeline, Inventory System"
52,"AWS, Docker, JavaScript","Leadership, Time Management, Adaptability","Recommendation Engine, ETL Tool, Automation Bot"
53,"SQL, Pandas, Docker","Problem Solving, Time Management, Teamwork","Inventory System, ETL Tool, Automation Bot"
54,"Excel, Java, Python","Leadership, Problem Solving, Communication","Placement Portal, Automation Bot, Recommendation Engine"
55,"JavaScript, DSA, Pandas","Adaptability, Communication, Teamwork","Analytics Dashboard, Data Pipeline, Chatbot"
56,"AWS, Excel, React","Teamwork, Problem Solving, Communication","Student CRM, Inventory System, Placement Portal"
57,"SQL, Node.js, Java","Time Management, Adaptability, Communication","Inventory System, Data Pipeline, ETL Tool"
58,"Excel, Python, React","Time Management, Teamwork, Leadership","Inventory System, Recommendation Engine, Automation Bot"
59,"Node.js, JavaScript, SQL","Problem Solving, Adaptability, Leadership","Placement Portal, Chatbot, ETL Tool"
60,"DSA, JavaScript, React","Leadership, Time Management, Communication","Inventory System, Attendance Tracker, Chatbot"
61,"DSA, Node.js, JavaScript","Teamwork, Problem Solving, Adaptability","Recommendation Engine, Chatbot, Data Pipeline"
62,"DSA, AWS, SQL","Problem Solving, Leadership, Adaptability","ETL Tool, Data Pipeline, Inventory System"
63,"C++, JavaScript, SQL","Leadership, Communication, Time Management","ETL Tool, Inventory System, Chatbot"
64,"Node.js, SQL, JavaScript","Communication, Time Management, Leadership","Automation Bot, Recommendation Engine, Student CRM"
65,"Java, React, Node.js","Leadership, Communication, Adaptability","Analytics Dashboard, Data Pipeline, ETL Tool"
66,"Excel, SQL, C++","Adaptability, Leadership, Communication","Placement Portal, Recommendation Engine, Attendance Tracker"
67,"C++, React, JavaScript","Problem Solving, Leadership, Communication","Placement Portal, Attendance Tracker, Inventory System"
68,"SQL, Node.js, AWS","Adaptability, Problem Solving, Time Management","Placement Portal, Automation Bot, Inventory System"
69,"Node.js, DSA, AWS","Problem Solving, Leadership, Adaptability","Recommendation Engine, Attendance Tracker, Automation Bot"
70,"Java, React, Docker","Time Management, Communication, Teamwork","Placement Portal, Automation Bot, Inventory System"
71,"SQL, DSA, Excel","Leadership, Problem Solving, Teamwork","Chatbot, Analytics Dashboard, Data Pipeline"
72,"Node.js, Pandas, C++","Problem Solving, Leadership, Communication","Data Pipeline, ETL Tool, Analytics Dashboard"
73,"Excel, SQL, Python","Adaptability, Leadership, Problem Solving","Analytics Dashboard, ETL Tool, Student CRM"
74,"Java, Docker, AWS","Leadership, Adaptability, Time Management","Data Pipeline, Placement Portal, Analytics Dashboard"
75,"Pandas, Excel, Docker","Teamwork, Time Management, Problem Solving","Analytics Dashboard, Chatbot, Recommendation Engine"
76,"Python, SQL, Docker","Adaptability, Communication, Problem Solving","Data Pipeline, Inventory System, Attendance Tracker"
77,"SQL, AWS, Pandas","Teamwork, Communication, Time Management","Placement Portal, Attendance Tracker, Recommendation Engine"
78,"Pandas, Excel, AWS","Leadership, Adaptability, Communication","Attendance Tracker, Placement Portal, Data Pipeline"
79,"React, C++, DSA","Leadership, Problem Solving, Time Management","Student CRM, ETL Tool, Attendance Tracker"
80,"React, Java, JavaScript","Communication, Leadership, Adaptability","Inventory System, Recommendation Engine, Student CRM"
81,"C++, Java, AWS","Adaptability, Leadership, Communication","Placement Portal, ETL Tool, Chatbot"
82,"C++, DSA, React","Communication, Problem Solving, Teamwork","Attendance Tracker, Data Pipeline, Placement Portal"
83,"Excel, SQL, JavaScript","Leadership, Teamwork, Problem Solving","Inventory System, Data Pipeline, Placement Portal"
84,"Java, Docker, C++","Communication, Time Management, Leadership","Analytics Dashboard, Placement Portal, Chatbot"
85,"SQL, Docker, C++","Adaptability, Teamwork, Time Management","Chatbot, Automation Bot, Recommendation Engine"
86,"JavaScript, Docker, SQL","Adaptability, Problem Solving, Teamwork","Data Pipeline, Student CRM, Placement Portal"
87,"SQL, Python, Excel","Problem Solving, Time Management, Adaptability","ETL Tool, Recommendation Engine, Data Pipeline"
88,"Node.js, Docker, React","Communication, Teamwork, Adaptability","Chatbot, Recommendation Engine, Data Pipeline"
89,"Pandas, C++, DSA","Teamwork, Leadership, Problem Solving","Automation Bot, ETL Tool, Placement Portal"
90,"Java, React, AWS","Problem Solving, Communication, Adaptability","Placement Portal, Analytics Dashboard, Chatbot"
91,"DSA, React, SQL","Communication, Adaptability, Teamwork","Placement Portal, Chatbot, Data Pipeline"
92,"Docker, Pandas, Java","Time Management, Problem Solving, Communication","ETL Tool, Attendance Tracker, Inventory System"
93,"Node.js, SQL, React","Problem Solving, Leadership, Communication","Placement Portal, Analytics Dashboard, Student CRM"
94,"AWS, C++, Node.js","Adaptability, Communication, Problem Solving","Student CRM, Automation Bot, Attendance Tracker"
95,"React, C++, Python","Time Management, Leadership, Teamwork","Analytics Dashboard, ETL Tool, Student CRM"
96,"React, Python, JavaScript","Leadership, Communication, Adaptability","Automation Bot, Placement Portal, Inventory System"
97,"C++, Docker, AWS","Problem Solving, Adaptability, Communication","Recommendation Engine, Analytics Dashboard, Inventory System"
98,"DSA, C++, Java","Time Management, Communication, Adaptability","Inventory System, Data Pipeline, Chatbot"
99,"C++, Python, Java","Teamwork, Adaptability, Communication","Automation Bot, Placement Portal, Recommendation Engine"
100,"C++, AWS, SQL","Teamwork, Time Management, Adaptability","Recommendation Engine, Inventory System, Data Pipeline"
101,"Excel, Pandas, C++","Time Management, Problem Solving, Leadership","Automation Bot, Analytics Dashboard, Placement Portal"
102,"DSA, Node.js, Java","Adaptability, Problem Solving, Time Management","Automation Bot, Student CRM, ETL Tool"
103,"DSA, JavaScript, Pandas","Adaptability, Time Management, Leadership","ETL Tool, Inventory System, Chatbot"
104,"C++, Pandas, DSA","Leadership, Problem Solving, Adaptability","Chatbot, Attendance Tracker, Inventory System"
105,"C++, Docker, DSA","Teamwork, Time Management, Communication","Data Pipeline, Attendance Tracker, Analytics Dashboard"
106,"DSA, Pandas, C++","Communication, Time Management, Leadership","Recommendation Engine, Automation Bot, Attendance Tracker"
107,"JavaScript, Java, Python","Leadership, Adaptability, Teamwork","Placement Portal, Automation Bot, Analytics Dashboard"
108,"Docker, C++, JavaScript","Teamwork, Problem Solving, Leadership","Analytics Dashboard, Inventory System, Automation Bot"
109,"DSA, Pandas, Excel","Problem Solving, Teamwork, Leadership","Attendance Tracker, Chatbot, Student CRM"
110,"Docker, Node.js, Python","Adaptability, Problem Solving, Teamwork","Automation Bot, Data Pipeline, Chatbot"
111,"C++, Pandas, React","Adaptability, Communication, Time Management","Student CRM, Chatbot, Data Pipeline"
112,"Python, Node.js, Pandas","Adaptability, Communication, Leadership","Analytics Dashboard, Student CRM, Attendance Tracker"
113,"DSA, C++, SQL","Leadership, Communication, Teamwork","Data Pipeline, ETL Tool, Analytics Dashboard"
114,"Node.js, Docker, React","Teamwork, Adaptability, Time Management","Analytics Dashboard, ETL Tool, Data Pipeline"
115,"JavaScript, Pandas, SQL","Leadership, Adaptability, Problem Solving","Inventory System, ETL Tool, Placement Portal"
116,"Node.js, Docker, Excel","Teamwork, Communication, Time Management","Recommendation Engine, ETL Tool, Data Pipeline"
117,"Pandas, Python, Node.js","Problem Solving, Teamwork, Adaptability","Attendance Tracker, Chatbot, Recommendation Engine"
118,"Excel, SQL, C++","Time Management, Leadership, Adaptability","Recommendation Engine, Inventory System, Automation Bot"
119,"React, SQL, Excel","Adaptability, Leadership, Communication","Analytics Dashboard, ETL Tool, Recommendation Engine"
120,"Excel, AWS, Pandas","Adaptability, Leadership, Problem Solving","Chatbot, Automation Bot, Attendance Tracker"
121,"Node.js, C++, Java","Teamwork, Leadership, Problem Solving","Student CRM, Analytics Dashboard, Inventory System"
122,"JavaScript, Docker, SQL","Adaptability, Problem Solving, Teamwork","Attendance Tracker, Student CRM, Recommendation Engine"
123,"Pandas, DSA, C++","Adaptability, Teamwork, Communication","Recommendation Engine, Student CRM, Chatbot"
124,"Excel, C++, DSA","Adaptability, Problem Solving, Communication","ETL Tool, Recommendation Engine, Attendance Tracker"
125,"AWS, Node.js, Pandas","Communication, Time Management, Adaptability","Automation Bot, Data Pipeline, Analytics Dashboard"
126,"Node.js, Docker, React","Teamwork, Problem Solving, Leadership","Data Pipeline, Chatbot, Student CRM"
127,"Node.js, Java, Python","Adaptability, Communication, Time Management","ETL Tool, Inventory System, Analytics Dashboard"
128,"JavaScript, Node.js, C++","Communication, Problem Solving, Adaptability","Data Pipeline, Attendance Tracker, Student CRM"
129,"JavaScript, Node.js, AWS","Adaptability, Problem Solving, Time Management","Inventory System, Student CRM, Analytics Dashboard"
130,"SQL, AWS, C++","Time Management, Adaptability, Communication","Inventory System, ETL Tool, Student CRM"
131,"C++, JavaScript, React","Problem Solving, Adaptability, Time Management","ETL Tool, Data Pipeline, Attendance Tracker"
132,"Docker, Java, AWS","Adaptability, Leadership, Teamwork","Data Pipeline, Automation Bot, ETL Tool"
133,"C++, React, Excel","Problem Solving, Time Management, Leadership","Placement Portal, ETL Tool, Chatbot"
134,"Docker, C++, Excel","Problem Solving, Adaptability, Leadership","Automation Bot, Attendance Tracker, Analytics Dashboard"
135,"JavaScript, Pandas, AWS","Leadership, Communication, Problem Solving","Placement Portal, Recommendation Engine, Student CRM"
136,"SQL, JavaScript, Pandas","Leadership, Problem Solving, Teamwork","Data Pipeline, Placement Portal, Chatbot"
137,"DSA, Java, C++","Teamwork, Adaptability, Leadership","Attendance Tracker, Chatbot, Analytics Dashboard"
138,"Python, Docker, JavaScript","Teamwork, Problem Solving, Time Management","Data Pipeline, Placement Portal, Inventory System"
139,"DSA, Node.js, AWS","Teamwork, Communication, Leadership","Data Pipeline, Student CRM, Placement Portal"
140,"Python, Java, Excel","Communication, Teamwork, Time Management","Placement Portal, Student CRM, Chatbot"
141,"Java, JavaScript, Python","Time Management, Adaptability, Problem Solving","Student CRM, ETL Tool, Data Pipeline"
142,"JavaScript, Node.js, React","Adaptability, Time Management, Teamwork","Placement Portal, Recommendation Engine, Chatbot"
143,"React, Excel, Java","Adaptability, Communication, Problem Solving","Recommendation Engine, Data Pipeline, Student CRM"
144,"C++, SQL, Pandas","Communication, Time Management, Problem Solving","ETL Tool, Analytics Dashboard, Data Pipeline"
145,"Docker, AWS, Python","Time Management, Teamwork, Leadership","Attendance Tracker, Inventory System, ETL Tool"
146,"JavaScript, React, Excel","Problem Solving, Teamwork, Adaptability","Recommendation Engine, Analytics Dashboard, Chatbot"
147,"React, Python, JavaScript","Teamwork, Time Management, Communication","Chatbot, Analytics Dashboard, Placement Portal"
148,"SQL, Excel, Node.js","Time Management, Adaptability, Problem Solving","Analytics Dashboard, Student CRM, Chatbot"
149,"Node.js, DSA, JavaScript","Problem Solving, Time Management, Communication","Student CRM, Inventory System, Placement Portal"
150,"Node.js, Pandas, SQL","Adaptability, Teamwork, Problem Solving","Automation Bot, Recommendation Engine, Chatbot"
151,"Pandas, Docker, C++","Teamwork, Problem Solving, Time Management","ETL Tool, Placement Portal, Analytics Dashboard"
152,"Node.js, Python, React","Time Management, Communication, Adaptability","Inventory System, Attendance Tracker, Recommendation Engine"
153,"Pandas, AWS, React","Problem Solving, Teamwork, Communication","Placement Portal, Recommendation Engine, Chatbot"
154,"Excel, Python, Pandas","Time Management, Problem Solving, Communication","Chatbot, Automation Bot, Placement Portal"
155,"Java, Docker, JavaScript","Problem Solving, Teamwork, Leadership","Data Pipeline, Recommendation Engine, Placement Portal"
156,"Pandas, React, AWS","Problem Solving, Communication, Time Management","Analytics Dashboard, Inventory System, Chatbot"
157,"SQL, AWS, Docker","Communication, Adaptability, Teamwork","Attendance Tracker, Automation Bot, Recommendation Engine"
158,"JavaScript, React, Java","Time Management, Communication, Teamwork","Data Pipeline, Chatbot, Inventory System"
159,"SQL, Excel, Node.js","Adaptability, Leadership, Time Management","Data Pipeline, Inventory System, Student CRM"
160,"Python, Java, JavaScript","Communication, Leadership, Time Management","ETL Tool, Automation Bot, Student CRM"
161,"Pandas, AWS, DSA","Time Management, Leadership, Communication","Data Pipeline, Automation Bot, ETL Tool"
162,"Pandas, Excel, Docker","Adaptability, Teamwork, Problem Solving","Student CRM, Inventory System, Recommendation Engine"
163,"Docker, Java, React","Teamwork, Problem Solving, Adaptability","Student CRM, Analytics Dashboard, Attendance Tracker"
164,"Pandas, Python, JavaScript","Time Management, Teamwork, Communication","Attendance Tracker, Chatbot, Placement Portal"
165,"SQL, React, Docker","Time Management, Problem Solving, Teamwork","Attendance Tracker, Recommendation Engine, Placement Portal"
166,"Python, SQL, Pandas","Problem Solving, Communication, Leadership","Automation Bot, Inventory System, ETL Tool"
167,"Pandas, DSA, Python","Teamwork, Leadership, Time Management","Analytics Dashboard, Placement Portal, Automation Bot"
168,"Python, Java, AWS","Teamwork, Adaptability, Time Management","Automation Bot, Student CRM, Analytics Dashboard"
169,"C++, Python, AWS","Teamwork, Problem Solving, Communication","ETL Tool, Analytics Dashboard, Recommendation Engine"
170,"Docker, AWS, Python","Communication, Leadership, Problem Solving","Placement Portal, Inventory System, ETL Tool"
171,"Docker, Node.js, C++","Problem Solving, Teamwork, Time Management","Chatbot, Automation Bot, Analytics Dashboard"
172,"Docker, Excel, Node.js","Time Management, Problem Solving, Adaptability","Automation Bot, Analytics Dashboard, Student CRM"
173,"SQL, Python, DSA","Leadership, Time Management, Problem Solving","Analytics Dashboard, ETL Tool, Data Pipeline"
174,"AWS, Pandas, SQL","Leadership, Teamwork, Time Management","Attendance Tracker, Analytics Dashboard, Placement Portal"
175,"Excel, Java, Python","Adaptability, Problem Solving, Time Management","Recommendation Engine, Inventory System, Chatbot"
176,"SQL, AWS, Java","Teamwork, Adaptability, Leadership","Student CRM, Recommendation Engine, Analytics Dashboard"
177,"AWS, C++, Excel","Leadership, Communication, Time Management","Recommendation Engine, Automation Bot, Inventory System"
178,"DSA, Node.js, Docker","Teamwork, Communication, Time Management","Attendance Tracker, Data Pipeline, ETL Tool"
179,"Python, Node.js, SQL","Time Management, Communication, Problem Solving","Attendance Tracker, Placement Portal, Automation Bot"
180,"JavaScript, Python, SQL","Leadership, Time Management, Problem Solving","Inventory System, Automation Bot, Placement Portal"
181,"Python, Pandas, JavaScript","Problem Solving, Adaptability, Leadership","ETL Tool, Inventory System, Recommendation Engine"
182,"Docker, Java, SQL","Leadership, Communication, Teamwork","ETL Tool, Data Pipeline, Chatbot"
183,"DSA, Excel, Node.js","Communication, Time Management, Problem Solving","Student CRM, Data Pipeline, Recommendation Engine"
184,"JavaScript, Node.js, AWS","Adaptability, Teamwork, Leadership","ETL Tool, Analytics Dashboard, Recommendation Engine"
185,"Node.js, Java, React","Communication, Problem Solving, Teamwork","Recommendation Engine, Data Pipeline, Chatbot"
186,"Pandas, React, JavaScript","Time Management, Teamwork, Leadership","Data Pipeline, Student CRM, Recommendation Engine"
187,"React, AWS, Docker","Time Management, Communication, Adaptability","ETL Tool, Student CRM, Automation Bot"
188,"Python, C++, Docker","Communication, Problem Solving, Teamwork","Analytics Dashboard, Attendance Tracker, Data Pipeline"
189,"Python, Pandas, AWS","Leadership, Problem Solving, Teamwork","Automation Bot, Placement Portal, Attendance Tracker"
190,"JavaScript, Node.js, Python","Adaptability, Leadership, Communication","Placement Portal, Recommendation Engine, Inventory System"
191,"Excel, SQL, Pandas","Communication, Teamwork, Adaptability","Attendance Tracker, ETL Tool, Student CRM"
192,"Pandas, React, JavaScript","Leadership, Adaptability, Teamwork","Inventory System, Attendance Tracker, Student CRM"
193,"Excel, DSA, React","Time Management, Leadership, Problem Solving","Automation Bot, ETL Tool, Chatbot"
194,"DSA, React, AWS","Time Management, Problem Solving, Communication","Attendance Tracker, Inventory System, Automation Bot"
195,"DSA, JavaScript, SQL","Adaptability, Time Management, Problem Solving","Inventory System, Student CRM, Attendance Tracker"
196,"SQL, AWS, React","Time Management, Problem Solving, Communication","Attendance Tracker, ETL Tool, Student CRM"
197,"Java, DSA, C++","Adaptability, Communication, Teamwork","Placement Portal, Chatbot, Analytics Dashboard"
198,"Pandas, React, Python","Leadership, Time Management, Communication","Chatbot, Data Pipeline, Recommendation Engine"
199,"Java, DSA, AWS","Problem Solving, Leadership, Adaptability","Data Pipeline, Recommendation Engine, Inventory System"
200,"Excel, C++, JavaScript","Time Management, Teamwork, Adaptability","Automation Bot, Student CRM, Recommendation Engine"
201,"Node.js, SQL, Java","Leadership, Problem Solving, Teamwork","Chatbot, Automation Bot, Inventory System"
202,"React, DSA, SQL","Problem Solving, Teamwork, Time Management","Placement Portal, Student CRM, Recommendation Engine"
203,"Java, SQL, Pandas","Leadership, Time Management, Communication","Recommendation Engine, Analytics Dashboard, Automation Bot"
204,"Excel, Java, SQL","Leadership, Problem Solving, Communication","Chatbot, Data Pipeline, Recommendation Engine"
205,"Python, SQL, Excel","Leadership, Problem Solving, Time Management","Chatbot, Recommendation Engine, Analytics Dashboard"
206,"Python, C++, SQL","Problem Solving, Time Management, Teamwork","Automation Bot, Recommendation Engine, Analytics Dashboard"
207,"Node.js, Docker, DSA","Communication, Adaptability, Problem Solving","Placement Portal, Data Pipeline, ETL Tool"
208,"Node.js, AWS, SQL","Time Management, Leadership, Problem Solving","Inventory System, Analytics Dashboard, Placement Portal"
209,"AWS, DSA, Excel","Teamwork, Problem Solving, Time Management","Automation Bot, Data Pipeline, Chatbot"
210,"C++, SQL, Docker","Problem Solving, Communication, Leadership","ETL Tool, Inventory System, Chatbot"
211,"React, SQL, Java","Time Management, Problem Solving, Adaptability","Placement Portal, Analytics Dashboard, Automation Bot"
212,"Pandas, DSA, Excel","Teamwork, Adaptability, Leadership","Chatbot, Analytics Dashboard, Attendance Tracker"
213,"JavaScript, Java, Node.js","Adaptability, Leadership, Problem Solving","ETL Tool, Attendance Tracker, Chatbot"
214,"React, AWS, C++","Teamwork, Problem Solving, Adaptability","Placement Portal, Recommendation Engine, Student CRM"
215,"JavaScript, SQL, C++","Leadership, Problem Solving, Adaptability","Chatbot, Student CRM, Analytics Dashboard"
216,"Python, DSA, SQL","Leadership, Problem Solving, Teamwork","Recommendation Engine, Student CRM, Data Pipeline"
217,"AWS, Python, Node.js","Adaptability, Teamwork, Time Management","Automation Bot, Student CRM, Attendance Tracker"
218,"Docker, React, Java","Adaptability, Communication, Leadership","Automation Bot, Analytics Dashboard, Data Pipeline"
219,"DSA, Node.js, AWS","Teamwork, Adaptability, Problem Solving","Data Pipeline, Recommendation Engine, Analytics Dashboard"
220,"Python, Java, React","Teamwork, Leadership, Communication","Analytics Dashboard, ETL Tool, Automation Bot"
221,"AWS, Node.js, DSA","Adaptability, Problem Solving, Leadership","Automation Bot, Inventory System, Attendance Tracker"
222,"SQL, C++, Python","Leadership, Teamwork, Time Management","Placement Portal, Chatbot, Attendance Tracker"
223,"DSA, Java, Pandas","Time Management, Teamwork, Communication","Inventory System, Placement Portal, Student CRM"
224,"Python, AWS, Docker","Communication, Teamwork, Adaptability","Chatbot, Attendance Tracker, Automation Bot"
225,"C++, Docker, Pandas","Adaptability, Time Management, Leadership","Attendance Tracker, Chatbot, ETL Tool"
226,"Java, Pandas, JavaScript","Adaptability, Time Management, Teamwork","Automation Bot, Data Pipeline, Student CRM"
227,"SQL, JavaScript, Docker","Teamwork, Communication, Adaptability","Attendance Tracker, Placement Portal, Recommendation Engine"
228,"Excel, JavaScript, Docker","Adaptability, Leadership, Communication","ETL Tool, Placement Portal, Data Pipeline"
229,"C++, AWS, DSA","Problem Solving, Communication, Time Management","Recommendation Engine, ETL Tool, Analytics Dashboard"
230,"Excel, Docker, Java","Adaptability, Communication, Teamwork","Data Pipeline, Student CRM, ETL Tool"
231,"C++, Node.js, DSA","Leadership, Time Management, Teamwork","Automation Bot, ETL Tool, Attendance Tracker"
232,"DSA, Excel, AWS","Leadership, Communication, Time Management","Inventory System, Chatbot, Analytics Dashboard"
233,"React, Excel, AWS","Communication, Problem Solving, Time Management","Chatbot, Data Pipeline, Recommendation Engine"
234,"React, Pandas, Python","Adaptability, Problem Solving, Communication","Analytics Dashboard, Automation Bot, Placement Portal"
235,"React, Pandas, JavaScript","Time Management, Adaptability, Teamwork","Recommendation Engine, Data Pipeline, Analytics Dashboard"
236,"Excel, Docker, React","Adaptability, Communication, Teamwork","ETL Tool, Automation Bot, Data Pipeline"
237,"React, Pandas, C++","Leadership, Teamwork, Time Management","Analytics Dashboard, Student CRM, Recommendation Engine"
238,"Java, Node.js, Pandas","Time Management, Problem Solving, Communication","Attendance Tracker, Chatbot, Student CRM"
239,"Excel, Node.js, Docker","Communication, Leadership, Time Management","Chatbot, Attendance Tracker, Recommendation Engine"
240,"React, Excel, Java","Adaptability, Leadership, Teamwork","Attendance Tracker, Placement Portal, Inventory System"
241,"DSA, Node.js, React","Communication, Adaptability, Problem Solving","Attendance Tracker, Inventory System, Chatbot"
242,"AWS, Python, JavaScript","Time Management, Communication, Leadership","ETL Tool, Chatbot, Analytics Dashboard"
243,"DSA, C++, Excel","Time Management, Leadership, Communication","Data Pipeline, Recommendation Engine, Analytics Dashboard"
244,"SQL, C++, Java","Time Management, Teamwork, Adaptability","Chatbot, Inventory System, Analytics Dashboard"
245,"React, Node.js, AWS","Teamwork, Adaptability, Problem Solving","Student CRM, Chatbot, Data Pipeline"
246,"Docker, Pandas, Java","Leadership, Problem Solving, Time Management","Analytics Dashboard, Inventory System, ETL Tool"
247,"Pandas, DSA, Java","Adaptability, Problem Solving, Communication","Chatbot, Data Pipeline, Analytics Dashboard"
248,"Pandas, React, Excel","Adaptability, Problem Solving, Time Management","Student CRM, Attendance Tracker, Automation Bot"
249,"Pandas, SQL, AWS","Adaptability, Leadership, Communication","Chatbot, ETL Tool, Recommendation Engine"
250,"Python, SQL, Java","Adaptability, Communication, Leadership","Inventory System, ETL Tool, Analytics Dashboard"
251,"Node.js, React, AWS","Problem Solving, Communication, Teamwork","Chatbot, Attendance Tracker, Placement Portal"
252,"Java, C++, Excel","Communication, Time Management, Leadership","Placement Portal, Student CRM, Recommendation Engine"
253,"React, AWS, Node.js","Adaptability, Communication, Teamwork","Placement Portal, Attendance Tracker, Student CRM"
254,"DSA, Excel, SQL","Teamwork, Time Management, Leadership","ETL Tool, Placement Portal, Recommendation Engine"
